"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-01",,,"11.5","16.7","8.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-02",,,"10.8","14.6","7.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-03",,,"9.7","14.7",
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-04",,,"8.3","14.7","3.7"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-05",,,"8.6","13.0","4.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-06",,,"8.8","14.5","5.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-07",,,"9.2","15.6","4.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-08",,,"7.6","15.6","4.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-09",,,"7.8","11.0","5.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-10",,,"9.5","15.6","4.7"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-11",,,"11.8","19.2","4.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-12",,,"12.0","21.3","3.9"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-13",,,"13.9","24.6","5.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-14",,,"16.4","24.3","9.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-15",,,"14.8","24.3","10.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-16",,,"12.7","21.3","9.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-17",,,"12.9","20.1","7.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-18",,,"12.8","22.7","4.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-19",,,"12.9","22.7","6.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-20",,,"13.1","21.2","6.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-21",,,"14.3","23.5","6.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-22",,,"16.3","24.0","8.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-23",,,"14.9","24.0","8.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-24",,,"13.9","22.6",
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-25",,,"14.3","23.0","6.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-26",,,"14.3","23.0","7.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-27",,,"12.8","22.6","7.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-28",,,"13.9","21.7","6.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-29",,,"13.9","23.3","5.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-30","0.5",,"15.4","22.4","9.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-01-31","0.0",,"15.0","22.4","8.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-01",,,"14.7","22.1","8.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-02",,,"16.6","24.1","8.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-03",,,"17.1","26.0","9.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-04",,,"18.1","28.4",
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-05",,,"18.6","29.8","11.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-06",,,"20.8","29.8","13.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-07",,,"20.4","26.2","14.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-08","6.1",,"16.8","23.8","11.7"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-09","0.0",,"15.8","23.8","9.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-10",,,"15.9","23.5","9.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-11",,,"16.5","24.8","9.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-12",,,"17.0","26.8",
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-13",,,"20.1","28.8","13.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-14",,,"18.2","22.2","15.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-15","6.1",,"15.9","22.2",
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-16","15.0",,"16.6","22.7","12.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-17","0.0",,"14.7","21.3","9.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-18",,,"15.0","21.6","9.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-19",,,"16.6","23.8","10.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-20",,,"16.2","26.4","10.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-21",,,"15.6","26.4","9.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-22",,,"15.3","22.6","10.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-23",,,"18.1","25.6","10.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-24",,,"17.1","24.2","12.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-25","2.0",,"17.3","25.5","11.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-26","9.9",,"16.1","22.6","12.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-27","0.0",,"17.1","24.3","10.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-02-28",,,"17.1","24.2","10.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-01",,,"16.5","22.3","11.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-02","0.0",,"18.0","24.6","13.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-03","2.0",,"17.3","20.7","14.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-04","2.0",,"17.5","22.5","12.7"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-05","0.0",,"19.4","27.2","11.9"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-06",,,"19.8","27.2","13.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-07",,,"20.9","28.2","13.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-08",,,"20.8","27.8","15.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-09",,,"20.8","27.6","15.9"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-10",,,"19.9","26.3","13.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-11",,,"20.4","27.4","13.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-12",,,"19.3","28.6","13.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-13",,,"21.5","29.8","13.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-14",,,"22.9","30.6","14.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-15",,,"24.1","33.1","15.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-16",,,"24.1","32.3","15.9"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-17",,,"25.4","33.3","17.7"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-18",,,"26.2","33.8","18.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-19",,,"26.5",,"19.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-20",,,"26.1","33.3","19.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-21",,,"23.1","29.3","17.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-22",,,"24.3","33.8","14.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-23",,,"25.4","35.2","16.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-24",,,"26.0","33.2","19.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-25",,,"25.4","33.0","19.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-26",,,"26.2","34.4","18.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-27",,,"27.4","35.6","19.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-28",,,"27.2",,"19.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-29",,,"27.3","35.6","22.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-30",,,"24.4","33.0","19.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-03-31",,,"26.6","33.4","19.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-04-01",,,"27.0","33.6","19.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-04-02",,,"26.8","34.2","21.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-04-03",,,"26.2","34.2","20.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-04-04",,,"24.1","31.8","16.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-04-05",,,"27.2","35.4","15.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-04-06",,,"24.8","35.4","16.7"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-04-07",,,"25.7","35.0","18.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-04-08",,,"26.5","33.0","18.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-04-09",,,"27.1","34.3","18.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-04-10",,,"25.6","34.3","20.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-04-11","0.0",,"27.1","34.8","20.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-04-12",,,"26.9","33.0","22.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-04-13",,,"27.8","34.1","20.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-04-14",,,"27.9","35.6","20.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-04-15",,,"29.5","35.6","21.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-04-16",,,"28.3","36.4","21.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-04-17","1.0",,"24.2","36.4",
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-04-18","7.1",,"27.0","36.4","19.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-04-19","0.0",,"27.6","34.8","19.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-04-20","0.0",,"27.6","34.9","18.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-04-21",,,"28.5","36.0","19.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2011-04-22",,,"28.1","36.5","19.6"
