"STATION","DATE","TAVG","TMAX","TMIN"
"IN022023000","2016-01-01","14.6","23.0",
"IN022023000","2016-01-02","14.6","22.2","7.9"
"IN022023000","2016-01-03","13.8","22.2",
"IN022023000","2016-01-04","16.6","24.3",
"IN022023000","2016-01-05","18.4",,"11.4"
"IN022023000","2016-01-06","18.1","26.0",
"IN022023000","2016-01-07","18.2","25.0",
"IN022023000","2016-01-08","14.3","19.4",
"IN022023000","2016-01-09","14.6","22.1",
"IN022023000","2016-01-10","15.7","24.4",
"IN022023000","2016-01-11","16.5","25.2",
"IN022023000","2016-01-12","17.0","25.7","10.2"
"IN022023000","2016-01-13","16.1",,
"IN022023000","2016-01-14","14.1","19.1",
"IN022023000","2016-01-15","12.5","16.2","9.6"
"IN022023000","2016-01-16","11.8","17.1",
"IN022023000","2016-01-17","12.2","19.8",
"IN022023000","2016-01-18","12.1","19.0",
"IN022023000","2016-01-19","10.4","16.2",
"IN022023000","2016-01-20","9.7","14.4",
"IN022023000","2016-01-21","10.2","16.4",
"IN022023000","2016-01-22","10.1","19.8",
"IN022023000","2016-01-23","13.0","22.4","5.8"
"IN022023000","2016-01-24","8.8","14.7",
"IN022023000","2016-01-25","10.6","17.2",
"IN022023000","2016-01-26","13.9","22.7",
"IN022023000","2016-01-27","16.4","23.8","10.0"
"IN022023000","2016-01-28","15.2","23.7","10.0"
"IN022023000","2016-01-29","18.3","25.6","10.6"
"IN022023000","2016-01-30","20.2","28.2","14.0"
"IN022023000","2016-01-31","16.6","22.2",
"IN022023000","2016-02-01","14.7","22.9",
"IN022023000","2016-02-02","14.6","22.2",
"IN022023000","2016-02-03","14.0","22.3",
"IN022023000","2016-02-04","14.3","24.2",
"IN022023000","2016-02-05","14.5","24.4",
"IN022023000","2016-02-06","17.1","25.9",
"IN022023000","2016-02-07","16.4","22.4",
"IN022023000","2016-02-08","15.5","23.6","9.0"
"IN022023000","2016-02-09","15.4","24.4",
"IN022023000","2016-02-10","17.3","26.2",
"IN022023000","2016-02-11","19.0","27.0","12.6"
"IN022023000","2016-02-12","18.6","26.7",
"IN022023000","2016-02-13","16.3","26.7",
"IN022023000","2016-02-14","17.3","24.8","9.7"
"IN022023000","2016-02-15","16.5",,"10.9"
"IN022023000","2016-02-16","17.6","25.2",
"IN022023000","2016-02-17","19.2","26.3",
"IN022023000","2016-02-18","17.8","26.3","14.4"
"IN022023000","2016-02-19","22.2","29.8",
"IN022023000","2016-02-20","21.9","28.2",
"IN022023000","2016-02-21","18.4","27.0",
"IN022023000","2016-02-22","19.3",,
"IN022023000","2016-02-23","19.8","30.2",
"IN022023000","2016-02-24","21.5","32.2","11.5"
"IN022023000","2016-02-25","21.6","32.2",
"IN022023000","2016-02-26","22.8","31.9","14.5"
"IN022023000","2016-02-27","21.9","29.9","14.4"
"IN022023000","2016-02-28","22.4","31.4",
"IN022023000","2016-02-29","23.2","31.7","16.4"
"IN022023000","2016-03-01","24.1","32.2","16.4"
"IN022023000","2016-03-02","25.0","33.8","16.4"
"IN022023000","2016-03-03","25.6","34.6","17.1"
"IN022023000","2016-03-04","25.8","34.8","19.0"
"IN022023000","2016-03-05","21.9","34.8",
"IN022023000","2016-03-06","22.1","29.2","15.4"
"IN022023000","2016-03-07","22.4","29.8",
"IN022023000","2016-03-08","22.3","30.0",
"IN022023000","2016-03-09","22.8","30.4","15.8"
"IN022023000","2016-03-10","24.6","32.2","16.4"
"IN022023000","2016-03-11","24.3","35.2",
"IN022023000","2016-03-12","22.9","35.2",
"IN022023000","2016-03-13","23.7",,"17.7"
"IN022023000","2016-03-14","21.6","29.2",
"IN022023000","2016-03-15","22.6","31.0",
"IN022023000","2016-03-16","22.3","31.0",
"IN022023000","2016-03-17","25.4",,"17.6"
"IN022023000","2016-03-18","25.5","33.4","20.4"
"IN022023000","2016-03-19","25.8","35.0","19.4"
"IN022023000","2016-03-20","26.6","35.0","19.6"
"IN022023000","2016-03-21","24.9","34.5","18.7"
"IN022023000","2016-03-22","22.8","31.2","15.1"
"IN022023000","2016-03-23","24.8",,
"IN022023000","2016-03-24","27.7","38.4",
"IN022023000","2016-03-25","29.3","38.4",
"IN022023000","2016-03-26","24.1","28.1","19.4"
"IN022023000","2016-03-27","25.5",,
"IN022023000","2016-03-28","25.4","33.4",
"IN022023000","2016-03-29","26.3","34.2",
"IN022023000","2016-03-30","27.8","36.2","19.4"
"IN022023000","2016-03-31","30.4",,"20.4"
"IN022023000","2016-04-01","30.8","39.2","21.0"
"IN022023000","2016-04-02","31.4","41.2",
"IN022023000","2016-04-03","33.4","43.0","25.1"
"IN022023000","2016-04-04","32.9",,"24.0"
"IN022023000","2016-04-05","31.5","37.3",
"IN022023000","2016-04-06","30.1","39.2","22.0"
"IN022023000","2016-04-07","27.3","37.0",
"IN022023000","2016-04-08","29.0",,"19.5"
"IN022023000","2016-04-09","31.3","38.4","20.6"
"IN022023000","2016-04-10","31.0","38.5",
"IN022023000","2016-04-11","28.9","37.2","21.0"
